OID,Name,NCI Codelist Code,Data Type,Rank,Order,Term,NCI Term Code,Decoded Value,Comment,IsNonStandard,StandardOID
CL.PARAMN_ADLBC,PARAMN_ADLBC,,integer,,3,20,,Chloride (mmol/L),,Yes,
CL.PARAMN_ADLBC,PARAMN_ADLBC,,integer,,4,21,,Bilirubin (umol/L),,Yes,
CL.PARAMN_ADLBC,PARAMN_ADLBC,,integer,,5,22,,Alkaline Phosphatase (U/L),,Yes,
CL.PARAMN_ADLBC,PARAMN_ADLBC,,integer,,6,23,,Gamma Glutamyl Transferase (U/L),,Yes,
CL.PARAMN_ADLBC,PARAMN_ADLBC,,integer,,7,24,,Alanine Aminotransferase (U/L),,Yes,
CL.PARAMN_ADLBC,PARAMN_ADLBC,,integer,,8,25,,Aspartate Aminotransferase (U/L),,Yes,
CL.PARAMN_ADLBC,PARAMN_ADLBC,,integer,,9,26,,Blood Urea Nitrogen (mmol/L),,Yes,
CL.PARAMN_ADLBC,PARAMN_ADLBC,,integer,,10,27,,Creatinine (umol/L),,Yes,
CL.PARAMN_ADLBC,PARAMN_ADLBC,,integer,,11,28,,Urate (umol/L),,Yes,
CL.PARAMN_ADLBC,PARAMN_ADLBC,,integer,,12,29,,Phosphate (mmol/L),,Yes,
CL.PARAMN_ADLBC,PARAMN_ADLBC,,integer,,13,30,,Calcium (mmol/L),,Yes,
CL.PARAMN_ADLBC,PARAMN_ADLBC,,integer,,14,31,,Glucose (mmol/L),,Yes,
CL.PARAMN_ADLBC,PARAMN_ADLBC,,integer,,15,32,,Protein (g/L),,Yes,
CL.PARAMN_ADLBC,PARAMN_ADLBC,,integer,,16,33,,Albumin (g/L),,Yes,
CL.PARAMN_ADLBC,PARAMN_ADLBC,,integer,,17,34,,Cholesterol (mmol/L),,Yes,
CL.PARAMN_ADLBC,PARAMN_ADLBC,,integer,,18,35,,Creatine Kinase (U/L),,Yes,
CL.PARAMN_ADLBCPV,PARAMN_ADLBCPV,,integer,,,118,,"Sodium (mmol/L) change from previous visit, relative to normal range",,Yes,
CL.PARAMN_ADLBCPV,PARAMN_ADLBCPV,,integer,,,119,,"Potassium (mmol/L) change from previous visit, relative to normal range",,Yes,
CL.PARAMN_ADLBCPV,PARAMN_ADLBCPV,,integer,,,120,,"Chloride (mmol/L) change from previous visit, relative to normal range",,Yes,
CL.PARAMN_ADLBCPV,PARAMN_ADLBCPV,,integer,,,121,,"Bilirubin (umol/L) change from previous visit, relative to normal range",,Yes,
CL.PARAMN_ADLBCPV,PARAMN_ADLBCPV,,integer,,,122,,"Alkaline Phosphatase (U/L) change from previous visit, relative to normal range",,Yes,
CL.PARAMN_ADLBCPV,PARAMN_ADLBCPV,,integer,,,123,,"Gamma Glutamyl Transferase (U/L) change from previous visit, relative to normal range",,Yes,
CL.PARAMN_ADLBCPV,PARAMN_ADLBCPV,,integer,,,124,,"Alanine Aminotransferase (U/L) change from previous visit, relative to normal range",,Yes,
CL.PARAMN_ADLBCPV,PARAMN_ADLBCPV,,integer,,,125,,"Aspartate Aminotransferase (U/L) change from previous visit, relative to normal range",,Yes,
CL.PARAMN_ADLBCPV,PARAMN_ADLBCPV,,integer,,,126,,"Blood Urea Nitrogen (mmol/L) change from previous visit, relative to normal range",,Yes,
CL.PARAMN_ADLBCPV,PARAMN_ADLBCPV,,integer,,,127,,"Creatinine (umol/L) change from previous visit, relative to normal range",,Yes,
CL.PARAMN_ADLBCPV,PARAMN_ADLBCPV,,integer,,,128,,"Urate (umol/L) change from previous visit, relative to normal range",,Yes,
CL.PARAMN_ADLBCPV,PARAMN_ADLBCPV,,integer,,,129,,"Phosphate (mmol/L) change from previous visit, relative to normal range",,Yes,
CL.PARAMN_ADLBCPV,PARAMN_ADLBCPV,,integer,,,130,,"Calcium (mmol/L) change from previous visit, relative to normal range",,Yes,
CL.PARAMN_ADLBCPV,PARAMN_ADLBCPV,,integer,,,131,,"Glucose (mmol/L) change from previous visit, relative to normal range",,Yes,
CL.PARAMN_ADLBCPV,PARAMN_ADLBCPV,,integer,,,132,,"Protein (g/L) change from previous visit, relative to normal range",,Yes,
CL.PARAMN_ADLBCPV,PARAMN_ADLBCPV,,integer,,,133,,"Albumin (g/L) change from previous visit, relative to normal range",,Yes,
CL.PARAMN_ADLBCPV,PARAMN_ADLBCPV,,integer,,,134,,"Cholesterol (mmol/L) change from previous visit, relative to normal range",,Yes,
CL.PARAMN_ADLBCPV,PARAMN_ADLBCPV,,integer,,,135,,"Creatine Kinase (U/L) change from previous visit, relative to normal range",,Yes,
CL.PARAMN_ADLBH,PARAMN_ADLBH,,integer,,14,14,,Macrocytes,,Yes,
CL.PARAMN_ADLBH,PARAMN_ADLBH,,integer,,15,15,,Microcytes,,Yes,
CL.PARAMN_ADLBH,PARAMN_ADLBH,,integer,,16,16,,Poikilocytes,,Yes,
CL.PARAMN_ADLBH,PARAMN_ADLBH,,integer,,17,17,,Polychromasia,,Yes,
CL.PARAMN_ADLBH,PARAMN_ADLBH,,integer,,1,1,,Hemoglobin (mmol/L),,Yes,
CL.PARAMN_ADLBH,PARAMN_ADLBH,,integer,,2,2,,Hematocrit,,Yes,
CL.PARAMN_ADLBH,PARAMN_ADLBH,,integer,,3,3,,Ery. Mean Corpuscular Volume (fL),,Yes,
CL.PARAMN_ADLBH,PARAMN_ADLBH,,integer,,4,4,,Ery. Mean Corpuscular Hemoglobin (fmol(Fe)),,Yes,
CL.PARAMN_ADLBH,PARAMN_ADLBH,,integer,,5,5,,Ery. Mean Corpuscular HGB Concentration (mmol/L),,Yes,
CL.PARAMN_ADLBH,PARAMN_ADLBH,,integer,,6,6,,Leukocytes (GI/L),,Yes,
CL.PARAMN_ADLBH,PARAMN_ADLBH,,integer,,7,7,,Lymphocytes (GI/L),,Yes,
CL.PARAMN_ADLBH,PARAMN_ADLBH,,integer,,8,8,,Monocytes (GI/L),,Yes,
CL.PARAMN_ADLBH,PARAMN_ADLBH,,integer,,9,9,,Eosinophils (GI/L),,Yes,
CL.PARAMN_ADLBH,PARAMN_ADLBH,,integer,,10,10,,Basophils (GI/L),,Yes,
CL.PARAMN_ADLBH,PARAMN_ADLBH,,integer,,11,11,,Platelet (GI/L),,Yes,
CL.PARAMN_ADLBH,PARAMN_ADLBH,,integer,,12,12,,Erythrocytes (TI/L),,Yes,
CL.PARAMN_ADLBH,PARAMN_ADLBH,,integer,,13,13,,Anisocytes,,Yes,
CL.PARAMN_ADLBHPV,PARAMN_ADLBHPV,,integer,,,101,,"Hemoglobin (mmol/L) change from previous visit, relative to normal range",,Yes,
CL.PARAMN_ADLBHPV,PARAMN_ADLBHPV,,integer,,,102,,"Hematocrit change from previous visit, relative to normal range",,Yes,
CL.PARAMN_ADLBHPV,PARAMN_ADLBHPV,,integer,,,103,,"Ery. Mean Corpuscular Volume (fL) change from previous visit, relative to normal range",,Yes,
CL.PARAMN_ADLBHPV,PARAMN_ADLBHPV,,integer,,,104,,"Ery. Mean Corpuscular Hemoglobin (fmol(Fe)) change from previous visit, relative to normal range",,Yes,
CL.PARAMN_ADLBHPV,PARAMN_ADLBHPV,,integer,,,105,,"Ery. Mean Corpuscular HGB Concentration (mmol/L) change from previous visit, relative to normal rang",,Yes,
CL.PARAMN_ADLBHPV,PARAMN_ADLBHPV,,integer,,,106,,"Leukocytes (GI/L) change from previous visit, relative to normal range",,Yes,
CL.PARAMN_ADLBHPV,PARAMN_ADLBHPV,,integer,,,107,,"Lymphocytes (GI/L) change from previous visit, relative to normal range",,Yes,
CL.PARAMN_ADLBHPV,PARAMN_ADLBHPV,,integer,,,108,,"Monocytes (GI/L) change from previous visit, relative to normal range",,Yes,
CL.PARAMN_ADLBHPV,PARAMN_ADLBHPV,,integer,,,109,,"Eosinophils (GI/L) change from previous visit, relative to normal range",,Yes,
CL.PARAMN_ADLBHPV,PARAMN_ADLBHPV,,integer,,,110,,"Basophils (GI/L) change from previous visit, relative to normal range",,Yes,
CL.PARAMN_ADLBHPV,PARAMN_ADLBHPV,,integer,,,111,,"Platelet (GI/L) change from previous visit, relative to normal range",,Yes,
CL.PARAMN_ADLBHPV,PARAMN_ADLBHPV,,integer,,,112,,"Erythrocytes (TI/L) change from previous visit, relative to normal range",,Yes,
CL.PARAMN_ADLBHPV,PARAMN_ADLBHPV,,integer,,,113,,"Anisocytes change from previous visit, relative to normal range",,Yes,
CL.PARAMN_ADLBHPV,PARAMN_ADLBHPV,,integer,,,114,,"Macrocytes change from previous visit, relative to normal range",,Yes,
CL.PARAMN_ADLBHPV,PARAMN_ADLBHPV,,integer,,,115,,"Microcytes change from previous visit, relative to normal range",,Yes,
CL.PARAMN_ADLBHPV,PARAMN_ADLBHPV,,integer,,,116,,"Poikilocytes change from previous visit, relative to normal range",,Yes,
CL.PARAMN_ADLBHPV,PARAMN_ADLBHPV,,integer,,,117,,"Polychromasia change from previous visit, relative to normal range",,Yes,
CL.PARAMN_ADLBHY,PARAMN_ADLBHY,,integer,,1,1,,Alanine Aminotransferase (U/L),,Yes,
CL.PARAMN_ADLBHY,PARAMN_ADLBHY,,integer,,2,2,,Aspartate Aminotransferase (U/L),,Yes,
CL.PARAMN_ADLBHY,PARAMN_ADLBHY,,integer,,3,3,,Bilirubin (umol/L),,Yes,
CL.PARAMN_ADLBHY,PARAMN_ADLBHY,,integer,,4,4,,Bilirubin 1.5 x ULN,,Yes,
CL.PARAMN_ADLBHY,PARAMN_ADLBHY,,integer,,5,5,,Transaminase 1.5 x ULN,,Yes,
CL.PARAMN_ADLBHY,PARAMN_ADLBHY,,integer,,6,6,,Total Bili 1.5 x ULN and Transaminase 1.5 x ULN,,Yes,
CL.PARAMN_ADQSADAS,PARAMN_ADQSADAS,,integer,,1,1,,Word Recall Task,,Yes,
CL.PARAMN_ADQSADAS,PARAMN_ADQSADAS,,integer,,2,2,,Naming Objects And Fingers (Refer To 5 C,,Yes,
CL.PARAMN_ADQSADAS,PARAMN_ADQSADAS,,integer,,3,3,,Delayed Word Recall,,Yes,
CL.PARAMN_ADQSADAS,PARAMN_ADQSADAS,,integer,,4,4,,Commands,,Yes,
CL.PARAMN_ADQSADAS,PARAMN_ADQSADAS,,integer,,5,5,,Constructional Praxis,,Yes,
CL.PARAMN_ADQSADAS,PARAMN_ADQSADAS,,integer,,6,6,,Ideational Praxis,,Yes,
CL.PARAMN_ADQSADAS,PARAMN_ADQSADAS,,integer,,7,7,,Orientation,,Yes,
CL.PARAMN_ADQSADAS,PARAMN_ADQSADAS,,integer,,8,8,,Word Recognition,,Yes,
CL.PARAMN_ADQSADAS,PARAMN_ADQSADAS,,integer,,9,9,,Attention/Visual Search Task,,Yes,
CL.PARAMN_ADQSADAS,PARAMN_ADQSADAS,,integer,,10,10,,Maze Solution,,Yes,
CL.PARAMN_ADQSADAS,PARAMN_ADQSADAS,,integer,,11,11,,Spoken Language Ability,,Yes,
CL.PARAMN_ADQSADAS,PARAMN_ADQSADAS,,integer,,12,12,,Comprehension Of Spoken Language,,Yes,
CL.PARAMN_ADQSADAS,PARAMN_ADQSADAS,,integer,,13,13,,Word Finding Difficulty In Spontaneous S,,Yes,
CL.PARAMN_ADQSADAS,PARAMN_ADQSADAS,,integer,,14,14,,Recall Of Test Instructions,,Yes,
CL.PARAMN_ADQSADAS,PARAMN_ADQSADAS,,integer,,15,15,,Adas-Cog(11) Subscore,,Yes,
CL.PARAMN_ADQSCIBC,PARAMN_ADQSCIBC,,integer,,1,1,,CIBIC Score,,Yes,
CL.PARAMN_ADQSNPIX,PARAMN_ADQSNPIX,,integer,,1,1,,NPI-X Item A (Delusion) Score,,Yes,
CL.PARAMN_ADQSNPIX,PARAMN_ADQSNPIX,,integer,,2,2,,NPI-X Item B (Hallucination) Score,,Yes,
CL.PARAMN_ADQSNPIX,PARAMN_ADQSNPIX,,integer,,3,3,,NPI-X Item C (Agitation/Agression) Score,,Yes,
CL.PARAMN_ADQSNPIX,PARAMN_ADQSNPIX,,integer,,4,4,,NPI-X Item D (Depression/Dysphoria) Score,,Yes,
CL.PARAMN_ADQSNPIX,PARAMN_ADQSNPIX,,integer,,5,5,,NPI-X Item E (Anxiety) Score,,Yes,
CL.PARAMN_ADQSNPIX,PARAMN_ADQSNPIX,,integer,,6,6,,NPI-X Item F (Eupohoria/Elation) Score,,Yes,
CL.PARAMN_ADQSNPIX,PARAMN_ADQSNPIX,,integer,,7,7,,NPI-X Item G (Apathy/Indifference) Score,,Yes,
CL.PARAMN_ADQSNPIX,PARAMN_ADQSNPIX,,integer,,8,8,,NPI-X Item H (Disinhibition) Score,,Yes,
CL.PARAMN_ADQSNPIX,PARAMN_ADQSNPIX,,integer,,9,9,,NPI-X Item I (Irritability/Lability) Score,,Yes,
CL.PARAMN_ADQSNPIX,PARAMN_ADQSNPIX,,integer,,10,10,,NPI-X Item J (Aberrant Motor Behavior) Score,,Yes,
CL.PARAMN_ADQSNPIX,PARAMN_ADQSNPIX,,integer,,11,11,,NPI-X Item K (Night-time Behavior) Score,,Yes,
CL.PARAMN_ADQSNPIX,PARAMN_ADQSNPIX,,integer,,12,12,,NPI-X Item L (Appetite/Eating Change) Score,,Yes,
CL.PARAMN_ADQSNPIX,PARAMN_ADQSNPIX,,integer,,13,13,,NPI-X (9) Total Score,,Yes,
CL.PARAMN_ADQSNPIX,PARAMN_ADQSNPIX,,integer,,14,14,,Mean NPI-X (9) Total (Week 4 to 24),,Yes,
CL.PARAMN_ADVS,PARAMN_ADVS,,integer,,1,1,,Systolic Blood Pressure (mmHg),,Yes,
CL.PARAMN_ADVS,PARAMN_ADVS,,integer,,2,2,,Diastolic Blood Pressure (mmHg),,Yes,
CL.PARAMN_ADVS,PARAMN_ADVS,,integer,,3,3,,Pulse Rate (beats/min),,Yes,
CL.PARAMN_ADVS,PARAMN_ADVS,,integer,,4,4,,Weight (kg),,Yes,
CL.PARAMN_ADVS,PARAMN_ADVS,,integer,,5,5,,Height (cm),,Yes,
CL.PARAMN_ADVS,PARAMN_ADVS,,integer,,6,6,,Temperature (C),,Yes,
CL.PARAMTYP,PARAMTYP,,text,,1,DERIVED,,DERIVED,,Yes,
CL.RACE,Race,C74457,text,,4,ASIAN,C41260,,,,STD.SDTM 2020-12-18
CL.RACE,Race,C74457,text,,1,WHITE,C41261,,,,STD.SDTM 2020-12-18
CL.RACE,Race,C74457,text,,2,BLACK OR AFRICAN AMERICAN,C16352,,,,STD.SDTM 2020-12-18
CL.RACE,Race,C74457,text,,3,AMERICAN INDIAN OR ALASKA NATIVE,C41259,,,,STD.SDTM 2020-12-18
CL.RACEN,Race (N),,integer,,1,1,,WHITE,,Yes,
CL.RACEN,Race (N),,integer,,2,2,,BLACK OR AFRICAN AMERICAN,,Yes,
CL.RACEN,Race (N),,integer,,3,6,,AMERICAN INDIAN OR ALASKA NATIVE,,Yes,
CL.RACEN,Race (N),,integer,,4,7,,ASIAN,,Yes,
CL.SEX,Sex,C66731,text,,1,F,C16576,Female,,,STD.SDTM 2020-12-18
CL.SEX,Sex,C66731,text,,2,M,C20197,Male,,,STD.SDTM 2020-12-18
CL.SEX,Sex,C66731,text,,3,U,C66731,U; UNK; Unknown,,,STD.SDTM 2020-12-18
CL.SHIFT,Shift,,text,,1,High to Normal,,,,Yes,
CL.SHIFT,Shift,,text,,2,Normal to Normal,,,,Yes,
CL.SHIFT,Shift,,text,,3,Normal to High,,,,Yes,
CL.SHIFTN,Shift (N),,integer,,1,0,,High to Normal,,Yes,
CL.SHIFTN,Shift (N),,integer,,2,1,,Normal to Normal,,Yes,
CL.SHIFTN,Shift (N),,integer,,3,2,,Normal to High,,Yes,
CL.Y_BLANK,Y Only,C66742,text,,1,Y,C49488,Yes,,,STD.SDTM 2020-12-18
CL.YN,No Yes Response,C66742,text,,1,N,C49487,No,,,STD.SDTM 2020-12-18
CL.YN,No Yes Response,C66742,text,,2,Y,C49488,Yes,,,STD.SDTM 2020-12-18
CL.YNN,No Yes Response (N),,integer,,1,0,,No,,Yes,
CL.YNN,No Yes Response (N),,integer,,2,1,,Yes,,Yes,
